化合物名,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
(R)-(-)-Carvone,7.464316607872508,-43.591126303641424,-8.04642805455009,-0.5747299602187856,-3.5802539646617673,5.8729032455977865,-2.6892954495857224,0.9102345666242794,3.2638884455244304,1.241722209588591,-1.8179923323815916,-10.064818085468424,-5.51717232139391,6.956873148279766,0.0031870408127922236
"(1R,2S,5R)-(-)-Menthol",-15.984787756577157,-48.409755042185886,11.599678889922851,-6.45999585226139,-2.8958900366369846,-21.817187309141836,7.987366443836012,30.16837855620591,-4.855939769171537,-27.966749639127986,-15.593791124391297,18.881794109713418,6.680355328787505,-3.869645059781284,-18.2994731249311
(-)-Menthyl chloride,-5.850617304966543,-48.61299683468979,25.383460064011963,-1.972609498194378,-9.623228403909916,-12.079315957546571,-5.014841528946911,9.790833475459706,-11.125810741057462,-10.948923882446643,12.77288816350131,-4.06872334834199,4.196934002341984,0.3262000439312813,0.7697408819755783
(-)-Borneol,0.756580393945105,-25.88464322282606,-4.98704349560645,6.148153392408323,-18.167908618679338,7.294050902198711,-16.95439688662217,9.1668765604885,10.160046387925464,8.512540587236078,22.090822347830805,-60.188603413131005,5.246428998244935,9.022765628589204,-17.823573066563718
(-)-Isoplegol,-12.599589566029804,-33.71723787445156,-12.966522741841025,-18.479083326968276,5.945712801108423,-6.208222430746543,-4.337392026171711,10.78344191531133,-12.640204458653221,1.7736425787492573,1.9273997096271591,6.93512177091528,5.8564849014117035,8.257695124341323,-9.983220040220228
(R)-(+)-Pulegone,-5.542243026336066,-15.565177932433235,-22.671645693824107,13.416132410840339,-14.651904537212083,1.710213983417012,-9.316080878823277,2.934847438404989,23.291129035910416,-3.159998448763018,-3.677587265984651,0.47666498932379386,2.8193927417967513,21.603270979729924,18.450465046001856
"(1S,2S,5S)-(-)-Myrtanol",-11.304627274071217,-39.547852287573136,-4.613877671604482,-11.450631708927464,-2.5935263573448006,-3.1301412389994243,-4.316776535382087,10.445836174355163,-3.6158547956975826,-8.445259931203198,-4.633131179934841,-0.055595832057031495,5.45468503305165,8.237247286381855,-5.906038377880554
(1R)-(-)-Fenchone,-9.503535873397436,-38.56356581316828,-1.0711765398925084,-32.03504099569695,8.98954999720491,-3.5111421603005106,-1.684155539539494,-16.96410836870873,-15.01904135596224,-8.198165346782766,0.5267282599237733,7.36832301910777,-27.74137461625255,0.40221356226265126,28.931657985249277
(1R)-endo-(+)-Fenchyl alchol,-4.012210046769983,-34.70422716953868,-0.25601508958403624,19.22392528570388,-13.375040571586004,1.2093946688984512,-9.788738771132104,-33.58501362022722,-8.456645577679478,-3.3499494211966776,6.3320301399825905,-6.485679913086382,22.146156462605706,-9.186557429762006,15.742305656155244
"(1R,2R,3R,5S)-(-)-Isopinocampheol",-12.110058840474823,-29.970659528864676,-11.755718987431656,-0.8551165779920673,-2.691231112242873,3.1164600512155545,-8.653155677112792,16.53684106913635,19.105057686892145,20.03721200065894,-4.614301444509667,-27.871146244417982,6.628567346244161,-9.023515626158465,-8.357490559383315
